bill length,weight
78.6,4500
82.7,4225
88.2,4275
93.9,5975
81.9,3425
84.5,3300
86.8,4275
87,4825
87.4,4025
87.7,4450
90.6,4125
89,4675
86.5,4400
83.1,3625
76.9,3675
71.67,3100
78.15,3425
75.35,4875
72.55,2375
69.8,3825
81.7,3225
77.9,4425
84.85,4275
75,3625
78.2,3300
79.6,3625
80.7,4975
90,6075
80.5,4400
81.9,5300
80.61,4800
92.2,4700
87.2,5700
98,6050
84.5,5950
88.21,6575
94.6,4850
88.82,6250
89.08,5750
90.7,5150
92.22,6600
88.5,5400
93.9,5550
92.8,5700
92.7,5600
81,4400
76.2,4500
87.2,4750
81.75,4900
88.6,5600
89.2,5700
91.4,6450
89.5,6700
85,5400
87,4850
86.6,4800
93.9,6150
88.1,5600
90.9,6700
83.95,4200
89.48,5150
85.71,4775
80,6000
82.3,4500
86,4950
90.7,5850
89.2,5600
93.12,5300
88.4,5650
89.88,6150
81,5025
86.95,4700
85.3,4000
88.15,4375
91,3950
92.3,4400
82.05,5850
84.15,6300
88.7,5850
87.2,5800
96.75,5650
88.6,4575
85.95,5700
87.5,4300
84.3,3750
84.2,3400
90.4,4550
84.1,5250
88,4225
78.5,4140
85.6,4000
84.6,4325
85.9,5125
86.5,4900
87,5475
73.1,2275
79.1,3600
78.4,3125
81.8,2500
82.6,2300
75.5,1900
